title,link_to_code,related_theme,current_vs_expected,additional_context
"Unable to run production build in next 15.2.0-canary.10, 15.2.0-canary.9 seems to work",https://github.com/vercel/next.js/tree/canary/examples/reproduction-template,['padroes_de_projeto'],"I wanted to try out the new `use cache` features in my existing project. Everything works fine in dev mode. When deploying to vercel, I get the following error `Error: ENOENT: no such file or directory, lstat '/vercel/path0/lc/.next/server/app/favicon.ico/route_client-reference-manifest.js'`.

When I build locally and then start the server I get this error message:

```
Error: Expected to use Webpack bindings (react-server-dom-webpack/server.edge) for React but the current process is referencing 'registerServerReference' from the Turbopack bindings (react-server-dom-turbopack/server.edge). This is likely a bug in our integration of the Next.js server runtime.
    at Object.get [as registerServerReference] (.next/server/chunks/ssr/ef794_next_dist_83da9c._.js:14:28)
    at Module.registerServerReference (.next/server/chunks/ssr/[turbopack]_runtime.js:90:19)
    at [project]/src/actions/finishLesson.ts [app-rsc] (ecmascript) (.next/server/chunks/ssr/[root of the server]__977a75._.js:287:428)
    at instantiateModule (.next/server/chunks/ssr/[turbopack]_runtime.js:590:23)
    at getOrInstantiateModuleFromParent (.next/server/chunks/ssr/[turbopack]_runtime.js:645:12)
    at esmImport (.next/server/chunks/ssr/[turbopack]_runtime.js:132:20)
    at [project]/.next-internal/server/app/learn/[base]/[target]/library/resource/[resourceId]/page/actions.js { ACTIONS_MODULE0 => ""[project]/src/actions/finishLesson.ts [app-rsc] (ecmascript)"", ACTIONS_MODULE1 => ""[project]/src/actions/updateWorksheet.ts [app-rsc] (ecmascript)"", ACTIONS_MODULE2 => ""[project]/src/lib/crud/getResource.ts [app-rsc] (ecmascript)"", ACTIONS_MODULE3 => ""[project]/src/actions/checkWord.ts [app-rsc] (ecmascript)"", ACTIONS_MODULE4 => ""[project]/src/actions/generateWorksheet.ts [app-rsc] (ecmascript)"", ACTIONS_MODULE5 => ""[project]/src/app/learn/[base]/[target]/library/resource/[resourceId]/page.tsx [app-rsc] (ecmascript)"" } [app-rsc] (ecmascript) <module evaluation> (.next/server/chunks/ssr/[root of the server]__977a75._.js:605:134)
    at instantiateModule (.next/server/chunks/ssr/[turbopack]_runtime.js:590:23)
    at getOrInstantiateModuleFromParent (.next/server/chunks/ssr/[turbopack]_runtime.js:645:12)
```

I now tested 15.2.0-canary.9. which works fine.","Tested against 15.2.0-canary.10, doesn't work.
15.2.0-canary.9. works"
Can't Compile Next.js 15.1.4 with Specific Network Connection,https://github.com/vercel/next.js/tree/canary/examples/reproduction-template,['padroes_de_projeto'],"# Current Behavior:
When running npm run dev in Next.js 15.1.4, the development server is accessible on the local network by default.
However, if I connected to a specific network interface (e.g., a specific Ethernet/Wi-Fi adapter), the app fails to compile and gets stuck in the loading stage.
(Cannot work using ```npm run dev -- --hostname localhost``` too)

# Expected Behavior:
The developer should be able to run npm run dev in Next.js 15.1.4 without any issues, even when connected to a specific network interface.
Ideally, there should be an option to disable the local network accessibility and only expose the development server on the local machine.
![issue_2](https://github.com/user-attachments/assets/b7a83e37-0994-4e5f-9d23-86b3ac8cfbcc)
![issue_3](https://github.com/user-attachments/assets/a3f737ed-fe52-4c36-b5e7-b194ae6abf90)",_No response_
Can't Compile Next.js 15.1.4 with Specific Network Connection,https://github.com/vercel/next.js/tree/canary/packages/create-next-app,['padroes_de_projeto'],"# Current Behavior:

When running npm run dev in Next.js 15.1.4, the development server is accessible on the local network by default.
However, if I connected to a specific network interface (e.g., a VPN or a specific Ethernet/Wi-Fi adapter), the app fails to compile and gets stuck in the loading stage.
(Cannot work using ```npm run dev -- --hostname localhost``` too)
# Expected Behavior:

The developer should be able to run npm run dev in Next.js 15.1.4 without any issues, even when connected to a specific network interface.
Ideally, there should be an option to disable the local network accessibility and only expose the development server on the local machine.
![issue_2](https://github.com/user-attachments/assets/b10e0224-60cd-4d5a-8e4f-b78c5eff4f46)
![issue_3](https://github.com/user-attachments/assets/b8e1daf8-b51b-4f47-96bc-48ac2e42d593)",_No response_
Failed to load plugin 'react-hooks' declared in ' » eslint-config-next/core-web-vitals » Cannot find module 'eslint-plugin-react-hooks' ,,['padroes_de_projeto'],,
SSR and Cache Control Issues with Next.js: Help Needed,https://github.com/tayebehsafdaridoost,['padroes_de_projeto'],"How can I ensure that the browser always fetches fresh data for SSR pages and doesn’t rely on cached versions?
Is there a better approach to manage middleware and headers for SSR and dynamic data fetching in Next.js?
Could there be specific issues with how I’ve configured next.config.js, Middleware, or API responses that cause this behavior?",_No response_
Importing ESM file from *next/client/*.js fails,,['padroes_de_projeto'],,
Extended Set Methods (like `union()`) Not Included in Default Polyfills Despite Documentation,.,['arquitetura_software'],,
Error: A tree hydrated but some attributes of the server rendered HTML didn't match the client properties.,,['padroes_de_projeto'],,
Router Cache entry doesn't work when query params contain %20,,['arquitetura_software'],,
`NEXT_REDIRECT` internal error making it to the client,,['padroes_de_projeto'],,
